timestamp,temperature,day_Saturday,day_Sunday,holiday_1.0,peak_day,load (t-1)
2013-06-16,81.43,0,1,0,0.0,19032.4
2013-06-17,85.02,0,0,0,0.0,19651.1
2013-06-18,82.18,0,0,0,0.0,24869.200000000004
2013-06-19,75.95,0,0,0,0.0,24071.300000000007
2013-06-20,78.49,0,0,0,0.0,21795.2
2013-06-21,81.48,0,0,0,0.0,22664.500000000004
2013-06-22,82.74,1,0,0,0.0,23527.2
2013-06-23,86.87,0,1,0,0.0,22154.7
2013-06-24,92.62,0,0,0,0.0,24539.6
2013-06-25,91.49,0,0,0,0.0,30057.4
2013-06-26,85.83,0,0,0,0.0,29566.2
2013-06-27,84.71,0,0,0,0.0,27853.5
2013-06-28,85.88,0,0,0,0.0,27971.800000000007
2013-06-29,83.64,1,0,0,0.0,26524.3
2013-06-30,83.23,0,1,0,0.0,23842.3
2013-07-01,75.76,0,0,0,0.0,23536.300000000007
2013-07-02,82.13,0,0,0,0.0,24523.2
2013-07-03,83.73,0,0,0,0.0,26524.3
2013-07-04,89.24,0,0,1,0.0,28176.4
2013-07-05,90.46,0,0,0,0.0,26227.4
2013-07-06,92.94,1,0,0,0.0,29596.8
2013-07-07,93.05,0,1,0,0.0,28173.9
2013-07-08,88.74,0,0,0,0.0,28347.8
2013-07-09,87.84,0,0,0,0.0,30512.4
2013-07-10,86.29,0,0,0,0.0,29838.9
2013-07-11,84.71,0,0,0,0.0,29617.3
2013-07-12,76.78,0,0,0,0.0,27610.4
2013-07-13,78.7,1,0,0,0.0,24901.000000000004
2013-07-14,90.49,0,1,0,0.0,23401.5
2013-07-15,93.75,0,0,0,0.0,28194.800000000007
2013-07-16,93.06,0,0,0,0.0,32805.8
2013-07-17,94.44,0,0,0,1.0,32487.0
2013-07-18,96.92,0,0,0,1.0,33317.4
2013-07-19,96.6,0,0,0,1.0,33499.5
2013-07-20,92.47,1,0,0,0.0,34024.6
2013-07-21,86.19,0,1,0,0.0,28547.300000000007
2013-07-22,81.75,0,0,0,0.0,25660.4
2013-07-23,86.92,0,0,0,0.0,28538.300000000007
2013-07-24,81.07,0,0,0,0.0,29567.4
2013-07-25,69.27,0,0,0,0.0,26023.9
2013-07-26,81.55,0,0,0,0.0,20973.5
2013-07-27,82.41,1,0,0,0.0,23515.0
2013-07-28,78.15,0,1,0,0.0,22511.6
2013-07-29,83.9,0,0,0,0.0,21418.4
2013-07-30,79.87,0,0,0,0.0,26017.7
2013-07-31,80.91,0,0,0,0.0,24294.5
2013-08-01,74.49,0,0,0,0.0,24909.300000000007
2013-08-02,83.57,0,0,0,0.0,23307.2
2013-08-03,77.65,1,0,0,0.0,24623.1
2013-08-04,79.17,0,1,0,0.0,21047.1
2013-08-05,77.68,0,0,0,0.0,20578.4
2013-08-06,79.95,0,0,0,0.0,22498.6
2013-08-07,77.96,0,0,0,0.0,23380.800000000007
2013-08-08,80.75,0,0,0,0.0,24032.4
2013-08-09,85.17,0,0,0,0.0,25802.5
2013-08-10,82.79,1,0,0,0.0,26306.5
2013-08-11,80.65,0,1,0,0.0,22348.2
2013-08-12,80.62,0,0,0,0.0,20983.1
2013-08-13,76.6,0,0,0,0.0,24746.9
2013-08-14,73.57,0,0,0,0.0,23549.9
2013-08-15,76.68,0,0,0,0.0,21369.1
2013-08-16,78.65,0,0,0,0.0,21981.0
2013-08-17,80.35,1,0,0,0.0,22438.7
2013-08-18,76.14,0,1,0,0.0,20932.500000000004
2013-08-19,78.2,0,0,0,0.0,20125.3
2013-08-20,86.41,0,0,0,0.0,23801.4
2013-08-21,88.03,0,0,0,0.0,26535.1
2013-08-22,75.89,0,0,0,0.0,27930.9
2013-08-23,80.25,0,0,0,0.0,26403.7
2013-08-24,78.05,1,0,0,0.0,24386.6
2013-08-25,81.69,0,1,0,0.0,20518.6
2013-08-26,81.03,0,0,0,0.0,21139.300000000007
2013-08-27,85.55,0,0,0,0.0,24460.5
2013-08-28,83.6,0,0,0,0.0,27143.900000000005
2013-08-29,78.49,0,0,0,0.0,27114.9
2013-08-30,84.17,0,0,0,0.0,25875.4
2013-08-31,85.03,1,0,0,0.0,26620.400000000005
2013-09-01,83.12,0,1,0,0.0,24543.6
2013-09-02,79.52,0,0,1,0.0,24096.6
2013-09-03,80.58,0,0,0,0.0,24170.7
2013-09-04,80.77,0,0,0,0.0,24597.099999999995
2013-09-05,76.7,0,0,0,0.0,24399.7
2013-09-06,70.31,0,0,0,0.0,22487.6
2013-09-07,77.86,1,0,0,0.0,20148.8
2013-09-08,79.99,0,1,0,0.0,19063.6
2013-09-09,71.07,0,0,0,0.0,19823.9
2013-09-10,84.92,0,0,0,0.0,20774.800000000007
2013-09-11,93.41,0,0,0,0.0,26152.0
2013-09-12,83.94,0,0,0,0.0,31307.1
2013-09-13,75.15,0,0,0,0.0,26904.0
2013-09-14,65.39,1,0,0,0.0,22308.6
2014-06-16,80.18,0,0,0,0.0,18598.1
2014-06-17,88.46,0,0,0,0.0,23272.1
2014-06-18,88.52,0,0,0,0.0,27003.800000000007
2014-06-19,76.84,0,0,0,0.0,26904.5
2014-06-20,79.69,0,0,0,0.0,23366.1
2014-06-21,76.06,1,0,0,0.0,22177.2
2014-06-22,77.32,0,1,0,0.0,19023.000000000004
2014-06-23,80.93,0,0,0,0.0,19541.4
2014-06-24,80.41,0,0,0,0.0,24169.6
2014-06-25,84.04,0,0,0,0.0,24805.3
2014-06-26,84.92,0,0,0,0.0,25881.2
2014-06-27,81.02,0,0,0,0.0,26492.5
2014-06-28,85.65,1,0,0,0.0,25177.2
2014-06-29,81.57,0,1,0,0.0,23188.1
2014-06-30,83.17,0,0,0,0.0,22810.4
2014-07-01,87.78,0,0,0,1.0,27273.9
2014-07-02,89.81,0,0,0,1.0,29442.2
2014-07-03,86.91,0,0,0,0.0,29281.9
2014-07-04,72.5,0,0,1,0.0,28000.7
2014-07-05,81.58,1,0,0,0.0,19727.3
2014-07-06,84.77,0,1,0,0.0,19680.1
2014-07-07,90.19,0,0,0,0.0,21699.4
2014-07-08,91.39,0,0,0,0.0,27556.4
2014-07-09,87.07,0,0,0,0.0,29045.8
2014-07-10,82.14,0,0,0,0.0,26903.700000000004
2014-07-11,83.68,0,0,0,0.0,25081.4
2014-07-12,84.51,1,0,0,0.0,25301.6
2014-07-13,81.9,0,1,0,0.0,23715.2
2014-07-14,83.18,0,0,0,0.0,22884.700000000004
2014-07-15,83.57,0,0,0,0.0,26743.9
2014-07-16,80.99,0,0,0,0.0,26345.6
2014-07-17,79.74,0,0,0,0.0,23963.7
2014-07-18,81.07,0,0,0,0.0,23159.4
2014-07-19,76.22,1,0,0,0.0,23367.1
2014-07-20,76.98,0,1,0,0.0,19916.2
2014-07-21,83.28,0,0,0,0.0,20787.4
2014-07-22,86.11,0,0,0,0.0,26135.6
2014-07-23,88.53,0,0,0,0.0,28582.7
2014-07-24,79.98,0,0,0,0.0,28904.2
2014-07-25,81.66,0,0,0,0.0,24411.7
2014-07-26,79.58,1,0,0,0.0,23962.4
2014-07-27,86.08,0,1,0,0.0,21142.7
2014-07-28,82.12,0,0,0,0.0,24249.700000000004
2014-07-29,75.38,0,0,0,0.0,24951.6
2014-07-30,79.03,0,0,0,0.0,21966.3
2014-07-31,81.75,0,0,0,0.0,22502.5
2014-08-01,82.78,0,0,0,0.0,23612.5
2014-08-02,73.17,1,0,0,0.0,25172.700000000004
2014-08-03,75.12,0,1,0,0.0,20631.8
2014-08-04,82.55,0,0,0,0.0,20167.9
2014-08-05,87.28,0,0,0,0.0,25711.9
2014-08-06,82.85,0,0,0,0.0,26577.1
2014-08-07,81.85,0,0,0,0.0,24968.9
2014-08-08,81.22,0,0,0,0.0,23849.1
2014-08-09,84.16,1,0,0,0.0,23321.2
2014-08-10,85.94,0,1,0,0.0,21882.3
2014-08-11,84.72,0,0,0,0.0,22917.8
2014-08-12,77.98,0,0,0,0.0,26170.4
2014-08-13,81.74,0,0,0,0.0,24058.3
2014-08-14,77.25,0,0,0,0.0,24096.700000000004
2014-08-15,71.65,0,0,0,0.0,21719.2
2014-08-16,78.21,1,0,0,0.0,20477.9
2014-08-17,81.14,0,1,0,0.0,18892.6
2014-08-18,80.37,0,0,0,0.0,19958.800000000007
2014-08-19,80.1,0,0,0,0.0,22712.300000000007
2014-08-20,81.98,0,0,0,0.0,23335.7
2014-08-21,79.06,0,0,0,0.0,24816.2
2014-08-22,74.97,0,0,0,0.0,24555.1
2014-08-23,72.84,1,0,0,0.0,23084.0
2014-08-24,78.1,0,1,0,0.0,19334.6
2014-08-25,85.92,0,0,0,0.0,20297.9
2014-08-26,85.53,0,0,0,0.0,25480.800000000007
2014-08-27,89.31,0,0,0,0.0,26866.4
2014-08-28,79.49,0,0,0,0.0,27327.5
2014-08-29,77.48,0,0,0,0.0,23636.700000000004
2014-08-30,76.97,1,0,0,0.0,22015.5
2014-08-31,88.93,0,1,0,0.0,20517.0
2014-09-01,86.67,0,0,1,0.0,23111.9
2014-09-02,90.99,0,0,0,1.0,25599.0
2014-09-03,84.07,0,0,0,0.0,29821.700000000004
2014-09-04,85.95,0,0,0,0.0,26286.5
2014-09-05,84.35,0,0,0,0.0,27054.4
2014-09-06,90.15,1,0,0,0.0,28931.4
2014-09-07,78.86,0,1,0,0.0,25763.4
2014-09-08,74.54,0,0,0,0.0,20737.700000000004
2014-09-09,71.89,0,0,0,0.0,21985.1
2014-09-10,75.65,0,0,0,0.0,21188.800000000007
2014-09-11,81.6,0,0,0,0.0,22200.7
2014-09-12,75.93,0,0,0,0.0,23164.6
2014-09-13,67.53,1,0,0,0.0,20727.9
2014-09-14,69.36,0,1,0,0.0,18096.599999999995
2015-06-16,75.63,0,0,0,0.0,24190.6
2015-06-17,78.09,0,0,0,0.0,23526.6
2015-06-18,68.89,0,0,0,0.0,22770.8
2015-06-19,84.75,0,0,0,0.0,21765.200000000004
2015-06-20,73.31,1,0,0,0.0,24063.1
2015-06-21,88.09,0,1,0,0.0,18824.4
2015-06-22,87.63,0,0,0,0.0,23380.300000000007
2015-06-23,88.97,0,0,0,0.0,26595.3
2015-06-24,82.82,0,0,0,0.0,28222.4
2015-06-25,82.27,0,0,0,0.0,24949.5
2015-06-26,78.75,0,0,0,0.0,24060.9
2015-06-27,69.44,1,0,0,0.0,23506.6
2015-06-28,72.0,0,1,0,0.0,18541.0
2015-06-29,76.91,0,0,0,0.0,17993.100000000002
2015-06-30,81.18,0,0,0,0.0,20970.9
2015-07-01,82.65,0,0,0,0.0,22783.000000000004
2015-07-02,79.27,0,0,0,0.0,23871.0
2015-07-03,80.83,0,0,1,0.0,22452.800000000007
2015-07-04,75.16,1,0,1,0.0,20730.7
2015-07-05,83.15,0,1,0,0.0,18309.7
2015-07-06,81.59,0,0,0,0.0,21428.2
2015-07-07,85.9,0,0,0,0.0,25691.4
2015-07-08,86.83,0,0,0,0.0,28214.6
2015-07-09,76.49,0,0,0,0.0,26779.6
2015-07-10,83.23,0,0,0,0.0,23026.500000000004
2015-07-11,85.53,1,0,0,0.0,24525.2
2015-07-12,87.2,0,1,0,0.0,23251.4
2015-07-13,84.55,0,0,0,0.0,23996.8
2015-07-14,78.45,0,0,0,0.0,27820.9
2015-07-15,79.91,0,0,0,0.0,25534.4
2015-07-16,78.6,0,0,0,0.0,23982.1
2015-07-17,79.31,0,0,0,0.0,22805.2
2015-07-18,84.54,1,0,0,0.0,23154.800000000007
2015-07-19,92.94,0,1,0,0.0,24519.6
2015-07-20,92.58,0,0,0,1.0,27831.8
2015-07-21,87.77,0,0,0,0.0,30733.2
2015-07-22,82.62,0,0,0,0.0,27985.8
2015-07-23,82.44,0,0,0,0.0,24998.9
2015-07-24,83.19,0,0,0,0.0,24713.099999999995
2015-07-25,84.27,1,0,0,0.0,24652.7
2015-07-26,86.96,0,1,0,0.0,23069.1
2015-07-27,83.64,0,0,0,0.0,24521.9
2015-07-28,91.26,0,0,0,0.0,28464.2
2015-07-29,93.18,0,0,0,1.0,30531.7
2015-07-30,85.22,0,0,0,0.0,31204.500000000004
2015-07-31,88.62,0,0,0,0.0,28908.2
2015-08-01,88.02,1,0,0,0.0,27696.9
2015-08-02,86.77,0,1,0,0.0,24243.800000000007
2015-08-03,90.33,0,0,0,0.0,24395.9
