timestamp,load_MW,temperature,weekday,season
2019-01-01 00:00:00-06:00,75388,4.44,Tuesday,Winter
2019-01-02 00:00:00-06:00,84464,25.23,Wednesday,Winter
2019-01-03 00:00:00-06:00,81557,40.04,Thursday,Winter
2019-01-04 00:00:00-06:00,80510,45.54,Friday,Winter
2019-01-05 00:00:00-06:00,73553,44.8,Saturday,Winter
2019-01-06 00:00:00-06:00,72912,37.14,Sunday,Winter
2019-01-07 00:00:00-06:00,76600,40.12,Monday,Winter
2019-01-08 00:00:00-06:00,78872,36.96,Tuesday,Winter
2019-01-09 00:00:00-06:00,85616,14.54,Wednesday,Winter
2019-01-10 00:00:00-06:00,88322,24.44,Thursday,Winter
2019-01-11 00:00:00-06:00,85868,32.54,Friday,Winter
2019-01-12 00:00:00-06:00,76489,30.38,Saturday,Winter
2019-01-13 00:00:00-06:00,80324,34.36,Sunday,Winter
2019-01-14 00:00:00-06:00,86851,31.67,Monday,Winter
2019-01-15 00:00:00-06:00,86093,32.36,Tuesday,Winter
2019-01-16 00:00:00-06:00,83983,20.56,Wednesday,Winter
2019-01-17 00:00:00-06:00,81507,22.22,Thursday,Winter
2019-01-18 00:00:00-06:00,80537,12.18,Friday,Winter
2019-01-19 00:00:00-06:00,84223,9.54,Saturday,Winter
2019-01-20 00:00:00-06:00,86050,9.37,Sunday,Winter
2019-01-21 00:00:00-06:00,91894,17.43,Monday,Winter
2019-01-22 00:00:00-06:00,86261,19.67,Tuesday,Winter
2019-01-23 00:00:00-06:00,87832,22.7,Wednesday,Winter
2019-01-24 00:00:00-06:00,91475,19.87,Thursday,Winter
2019-01-25 00:00:00-06:00,94707,4.24,Friday,Winter
2019-01-26 00:00:00-06:00,84039,10.12,Saturday,Winter
2019-01-27 00:00:00-06:00,82511,4.99,Sunday,Winter
2019-01-28 00:00:00-06:00,87321,11.53,Monday,Winter
2019-01-29 00:00:00-06:00,95500,-1.72,Tuesday,Winter
2019-01-30 00:00:00-06:00,97484,-14.11,Wednesday,Winter
2019-01-31 00:00:00-06:00,96783,-3.22,Thursday,Winter
2019-02-01 00:00:00-06:00,87637,16.38,Friday,Winter
2019-02-02 00:00:00-06:00,75726,39.26,Saturday,Winter
2019-02-03 00:00:00-06:00,69860,39.18,Sunday,Winter
2019-02-04 00:00:00-06:00,78695,33.09,Monday,Winter
2019-02-05 00:00:00-06:00,82051,12.72,Tuesday,Winter
2019-02-06 00:00:00-06:00,81021,20.4,Wednesday,Winter
2019-02-07 00:00:00-06:00,84862,20.53,Thursday,Winter
2019-02-08 00:00:00-06:00,90136,-0.37,Friday,Winter
2019-02-09 00:00:00-06:00,85206,7.39,Saturday,Winter
2019-02-10 00:00:00-06:00,79282,16.43,Sunday,Winter
2019-02-11 00:00:00-06:00,82212,25.08,Monday,Winter
2019-02-12 00:00:00-06:00,83878,24.52,Tuesday,Winter
2019-02-13 00:00:00-06:00,86975,18.8,Wednesday,Winter
2019-02-14 00:00:00-06:00,81023,22.54,Thursday,Winter
2019-02-15 00:00:00-06:00,82800,14.16,Friday,Winter
2019-02-16 00:00:00-06:00,77698,20.6,Saturday,Winter
2019-02-17 00:00:00-06:00,78896,24.99,Sunday,Winter
2019-02-18 00:00:00-06:00,85397,20.78,Monday,Winter
2019-02-19 00:00:00-06:00,86679,19.88,Tuesday,Winter
2019-02-20 00:00:00-06:00,80832,27.89,Wednesday,Winter
2019-02-21 00:00:00-06:00,81304,21.16,Thursday,Winter
2019-02-22 00:00:00-06:00,80297,27.38,Friday,Winter
2019-02-23 00:00:00-06:00,72211,31.68,Saturday,Winter
2019-02-24 00:00:00-06:00,77925,28.96,Sunday,Winter
2019-02-25 00:00:00-06:00,85630,3.4,Monday,Winter
2019-02-26 00:00:00-06:00,83966,7.99,Tuesday,Winter
2019-02-27 00:00:00-06:00,81394,12.3,Wednesday,Winter
2019-02-28 00:00:00-06:00,82763,21.58,Thursday,Winter
2019-03-01 00:00:00-06:00,81192,19.1,Friday,Spring
2019-03-02 00:00:00-06:00,75176,17.76,Saturday,Spring
2019-03-03 00:00:00-06:00,83071,-0.6,Sunday,Spring
2019-03-04 00:00:00-06:00,93044,8.85,Monday,Spring
