timestamp,load_MW,month,season,weekday,holiday
2016-12-31 00:00:00-05:00,97453.0,December,Winter,Saturday,False
2017-01-01 00:00:00-05:00,89166.0,January,Winter,Sunday,True
2017-01-02 00:00:00-05:00,97391.0,January,Winter,Monday,True
2017-01-03 00:00:00-05:00,102255.0,January,Winter,Tuesday,False
2017-01-04 00:00:00-05:00,109417.0,January,Winter,Wednesday,False
2017-01-05 00:00:00-05:00,117756.0,January,Winter,Thursday,False
2017-01-06 00:00:00-05:00,119080.0,January,Winter,Friday,False
2017-01-07 00:00:00-05:00,121888.0,January,Winter,Saturday,False
2017-01-08 00:00:00-05:00,123997.0,January,Winter,Sunday,False
2017-01-09 00:00:00-05:00,128375.0,January,Winter,Monday,False
2017-01-10 00:00:00-05:00,119369.0,January,Winter,Tuesday,False
2017-01-11 00:00:00-05:00,103971.0,January,Winter,Wednesday,False
2017-01-12 00:00:00-05:00,97111.0,January,Winter,Thursday,False
2017-01-13 00:00:00-05:00,101088.0,January,Winter,Friday,False
2017-01-14 00:00:00-05:00,100639.0,January,Winter,Saturday,False
2017-01-15 00:00:00-05:00,97721.0,January,Winter,Sunday,False
2017-01-16 00:00:00-05:00,104430.0,January,Winter,Monday,True
2017-01-17 00:00:00-05:00,100750.0,January,Winter,Tuesday,False
2017-01-18 00:00:00-05:00,101394.0,January,Winter,Wednesday,False
2017-01-19 00:00:00-05:00,100509.0,January,Winter,Thursday,False
2017-01-20 00:00:00-05:00,98551.0,January,Winter,Friday,False
2017-01-21 00:00:00-05:00,87322.0,January,Winter,Saturday,False
2017-01-22 00:00:00-05:00,89425.0,January,Winter,Sunday,False
2017-01-23 00:00:00-05:00,104799.0,January,Winter,Monday,False
2017-01-24 00:00:00-05:00,104028.0,January,Winter,Tuesday,False
2017-01-25 00:00:00-05:00,100150.0,January,Winter,Wednesday,False
2017-01-26 00:00:00-05:00,103816.0,January,Winter,Thursday,False
2017-01-27 00:00:00-05:00,106927.0,January,Winter,Friday,False
2017-01-28 00:00:00-05:00,98500.0,January,Winter,Saturday,False
2017-01-29 00:00:00-05:00,100779.0,January,Winter,Sunday,False
2017-01-30 00:00:00-05:00,112961.0,January,Winter,Monday,False
2017-01-31 00:00:00-05:00,109489.0,January,Winter,Tuesday,False
2017-02-01 00:00:00-05:00,102823.0,February,Winter,Wednesday,False
2017-02-02 00:00:00-05:00,106697.0,February,Winter,Thursday,False
2017-02-03 00:00:00-05:00,110428.0,February,Winter,Friday,False
2017-02-04 00:00:00-05:00,106223.0,February,Winter,Saturday,False
2017-02-05 00:00:00-05:00,94047.0,February,Winter,Sunday,False
2017-02-06 00:00:00-05:00,104284.0,February,Winter,Monday,False
2017-02-07 00:00:00-05:00,95831.0,February,Winter,Tuesday,False
2017-02-08 00:00:00-05:00,96884.0,February,Winter,Wednesday,False
2017-02-09 00:00:00-05:00,116605.0,February,Winter,Thursday,False
2017-02-10 00:00:00-05:00,116573.0,February,Winter,Friday,False
2017-02-11 00:00:00-05:00,90605.0,February,Winter,Saturday,False
2017-02-12 00:00:00-05:00,92006.0,February,Winter,Sunday,False
2017-02-13 00:00:00-05:00,103797.0,February,Winter,Monday,False
2017-02-14 00:00:00-05:00,105835.0,February,Winter,Tuesday,False
2017-02-15 00:00:00-05:00,105402.0,February,Winter,Wednesday,False
2017-02-16 00:00:00-05:00,108167.0,February,Winter,Thursday,False
2017-02-17 00:00:00-05:00,106855.0,February,Winter,Friday,False
2017-02-18 00:00:00-05:00,86158.0,February,Winter,Saturday,False
2017-02-19 00:00:00-05:00,81517.0,February,Winter,Sunday,False
2017-02-20 00:00:00-05:00,91197.0,February,Winter,Monday,True
2017-02-21 00:00:00-05:00,93377.0,February,Winter,Tuesday,False
2017-02-22 00:00:00-05:00,91024.0,February,Winter,Wednesday,False
2017-02-23 00:00:00-05:00,89459.0,February,Winter,Thursday,False
2017-02-24 00:00:00-05:00,86723.0,February,Winter,Friday,False
2017-02-25 00:00:00-05:00,86256.0,February,Winter,Saturday,False
2017-02-26 00:00:00-05:00,91926.0,February,Winter,Sunday,False
2017-02-27 00:00:00-05:00,99171.0,February,Winter,Monday,False
2017-02-28 00:00:00-05:00,92649.0,February,Winter,Tuesday,False
2017-03-01 00:00:00-05:00,92199.0,March,Spring,Wednesday,False
2017-03-02 00:00:00-05:00,100070.0,March,Spring,Thursday,False
2017-03-03 00:00:00-05:00,103622.0,March,Spring,Friday,False
2017-03-04 00:00:00-05:00,97299.0,March,Spring,Saturday,False
2017-03-05 00:00:00-05:00,94718.0,March,Spring,Sunday,False
2017-03-06 00:00:00-05:00,99980.0,March,Spring,Monday,False
2017-03-07 00:00:00-05:00,92804.0,March,Spring,Tuesday,False
2017-03-08 00:00:00-05:00,91341.0,March,Spring,Wednesday,False
2017-03-09 00:00:00-05:00,90719.0,March,Spring,Thursday,False
2017-03-10 00:00:00-05:00,101799.0,March,Spring,Friday,False
2017-03-11 00:00:00-05:00,99544.0,March,Spring,Saturday,False
